type ligne;;;origine;ex;auteur 1;auteur 2;editeur;yr;J;classe;age;durée;nombre;moy;dif;m.c.;Ph;R;A;;;;;;;;;;;;;;;
tag;Apero;18 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Notre Dame;new;Alea;1;Feld;;Alea;2007;;JP;10;75mn;27;4,18;3;;;R;A;2;3;4;5;;;;;;;;;;;
jeux;Princes de Florence;new;Achat;1;Ulrick;Kramer;Ystari Games;2007;;JP;12;90mn;66;4,60;4;;;R;_;2;3;4;5;;;;;;;;;;;
jeux;Astoria;;Role&str;1;Finas;;Role & Stratégie;2006;;JP;10;45mn;8;4,50;2;;;R;A;2;3;4;5;6;;;;;;;;;;
jeux;Mag-Blast;new;;1;Petersen;;Fantasy Flight Games;2007;;JP;10;20mn;8;3,00;2;;;_;_;2;3;4;5;6;7;8;;;;;;;;
jeux;Invasions;new;;1;Kendall;;Asmodée;2006;;JP;12;90mn;46;3,87;3;;;R;_;;3;4;5;;;;;;;;;;;
jeux;Gargon;;Achat;1;Dorn;;Amigo;2001;;JP;10;45mn;38;3,42;2;;;R;;;3;4;5;;;;;;;;;;;
jeux;Modern Art;new;Achat;1;Knizia;;Mayfair Games;2004;;JP;10;60mn;36;4,47;2;;;R;A;;3;4;5;;;;;;;;;;;
jeux;Skaal;;Tilsit;1;Mops;;Tilsit;2004;;JP;10;60mn;40;3,25;2;;P;_;_;;3;4;5;6;;;;;;;;;;
tag;Jeux a 2;38 jeux;_;;_;_;_;_;_;_;_;_;_;_;_;;;;;;;;;;;;;;;;;;;
jeux;Chasse Gardée;;Achat;1;Hoffmann;;Kosmos;2002;J;GP;8;40mn;45;3,22;1;;P;_;;2;;;;;;;;;;;;;;
jeux;Seigneur des Anneaux - Confrontation;;Achat;1;Knizia;;Tilsit;2002;;GP;12;30mn;64;4,06;2;;;R;;2;;;;;;;;;;;;;;
